Australian Bureau of Statistics

"2011 Census - Employment, Income and Unpaid Work"
"LGA by OCCP - 2 Digit Level"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default summation","Persons, Place of Usual Residence"

"OCCP - 2 Digit Level","Managers nfd","Chief Executives, General Managers and Legislators","Farmers and Farm Managers","Specialist Managers","Hospitality, Retail and Service Managers","Professionals nfd","Arts and Media Professionals","Business, Human Resource and Marketing Professionals","Design, Engineering, Science and Transport Professionals","Education Professionals","Health Professionals","ICT Professionals","Legal, Social and Welfare Professionals","Technicians and Trades Workers nfd","Engineering, ICT and Science Technicians","Automotive and Engineering Trades Workers","Construction Trades Workers","Electrotechnology and Telecommunications Trades Workers","Food Trades Workers","Skilled Animal and Horticultural Workers","Other Technicians and Trades Workers","Community and Personal Service Workers nfd","Health and Welfare Support Workers","Carers and Aides","Hospitality Workers","Protective Service Workers","Sports and Personal Service Workers","Clerical and Administrative Workers nfd","Office Managers and Program Administrators","Personal Assistants and Secretaries","General Clerical Workers","Inquiry Clerks and Receptionists","Numerical Clerks","Clerical and Office Support Workers","Other Clerical and Administrative Workers","Sales Workers nfd","Sales Representatives and Agents","Sales Assistants and Salespersons","Sales Support Workers","Machinery Operators and Drivers nfd","Machine and Stationary Plant Operators","Mobile Plant Operators","Road and Rail Drivers","Storepersons","Labourers nfd","Cleaners and Laundry Workers","Construction and Mining Labourers","Factory Process Workers","Farm, Forestry and Garden Workers","Food Preparation Assistants","Other Labourers","Total",
"LGA",
"Lockyer Valley (R)",31,57,787,494,508,28,33,288,210,478,401,58,106,25,246,679,427,227,194,267,191,3,157,678,237,180,138,21,245,118,376,235,362,127,243,3,170,956,217,21,276,352,721,102,65,388,248,732,743,247,309,14396,
"Logan (C)",344,705,326,5783,4565,168,435,3898,1934,3790,3311,1342,1002,275,2533,5709,5149,2856,1499,1220,2393,18,1107,6109,1910,1610,1243,187,3013,1204,4248,2889,4519,1547,3322,53,2290,7852,2262,160,2692,2481,5642,2997,450,3255,2908,4007,915,1706,2890,124717,
"Longreach (R)",3,10,235,70,129,0,14,40,35,110,82,3,22,3,26,85,61,35,51,51,19,0,35,88,37,28,27,3,51,15,56,19,64,12,38,0,18,108,30,0,25,60,60,11,9,67,55,3,122,23,39,2178,
"Mackay (R)",164,310,1210,2296,1915,32,148,1566,1306,1922,1853,137,444,141,1575,5275,1626,1846,606,340,729,0,451,1836,882,500,429,57,1285,470,1794,865,1581,445,970,15,771,3398,774,166,3424,1111,2590,704,205,1513,1177,814,413,796,1448,56332,
"McKinlay (S)",0,3,156,12,19,0,3,3,24,10,9,0,0,0,15,33,7,6,13,7,0,0,0,8,3,7,3,0,0,7,4,6,19,8,3,0,3,21,3,3,63,34,27,0,0,12,12,4,82,3,6,672,
"Mapoon (S)",0,3,0,3,3,0,0,0,4,0,6,0,4,0,0,0,3,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,3,0,3,0,3,0,16,0,3,79,
"Maranoa (R)",20,31,999,229,293,3,12,113,122,226,213,4,68,19,96,327,149,95,96,57,113,0,88,261,84,51,27,6,171,48,204,93,180,49,93,0,66,312,44,18,174,201,274,33,41,199,141,57,245,74,98,6594,
"Moreton Bay (R)",570,1220,626,9422,6788,302,682,6448,3826,5959,6706,2286,1709,350,3842,6551,6183,3958,1930,1769,3228,11,1640,8696,2867,3098,2139,304,4704,1842,5593,4082,6189,1830,4470,69,3481,11671,3097,177,2773,2282,5483,2164,425,3952,3055,3024,1489,2507,3899,171360,
"Mornington (S)",0,4,0,5,10,0,4,10,9,24,10,0,3,0,0,4,12,0,3,3,0,0,26,17,0,12,0,0,3,0,5,0,7,0,3,0,0,3,4,0,0,4,3,3,3,5,18,4,15,0,6,271,
"Mount Isa (C)",32,53,39,380,334,9,14,253,338,386,376,27,161,36,402,1022,134,429,106,56,135,3,141,309,129,193,57,18,217,54,300,131,196,85,155,0,75,478,115,33,1071,129,418,121,34,282,204,35,77,98,214,10077,
"Murweh (S)",7,5,251,73,106,0,8,29,34,95,78,3,24,0,23,58,67,45,56,28,16,0,43,86,32,35,13,0,41,16,70,25,38,18,25,0,19,116,25,0,28,58,76,6,17,87,63,102,109,16,37,2221,
"Napranum (S)",3,3,0,0,0,0,0,4,5,4,3,0,0,0,0,5,7,0,0,4,0,0,12,15,0,6,0,0,0,0,4,3,3,0,3,0,0,0,0,0,20,0,13,0,0,3,3,3,35,0,5,178,
"North Burnett (R)",15,19,841,93,196,0,12,37,45,159,130,3,17,10,52,132,70,49,62,44,24,0,38,203,46,10,13,3,60,43,98,39,93,39,48,0,25,189,41,15,138,144,137,3,29,108,74,145,460,46,69,4354,
"Northern Peninsula Area (R)",7,9,0,17,21,0,5,12,11,54,34,0,10,0,4,24,20,7,12,8,4,0,39,93,8,12,8,0,12,0,26,19,15,6,13,0,4,35,9,0,4,10,20,4,11,37,32,0,30,4,30,723,
"Palm Island (S)",4,3,0,13,5,0,3,16,0,37,22,0,9,0,3,3,23,0,9,0,3,0,30,73,4,25,0,0,6,0,18,3,10,10,7,0,0,14,10,0,3,5,15,3,18,31,39,0,53,14,30,580,
"Paroo (S)",0,8,189,17,35,0,4,7,6,32,24,0,6,0,3,18,13,15,13,9,5,0,23,40,6,15,4,0,9,5,13,5,14,4,10,0,5,33,4,0,19,34,24,0,17,17,17,3,57,9,13,817,
"Pormpuraaw (S)",0,9,3,11,4,0,10,8,4,5,3,0,3,0,0,5,5,0,0,8,0,0,9,12,5,13,0,0,7,0,7,3,3,0,5,0,0,3,0,0,0,4,5,3,7,9,10,0,27,0,13,222,
"Quilpie (S)",3,3,122,16,27,0,0,3,3,16,11,3,0,0,3,14,8,6,11,10,3,0,5,18,7,3,10,0,7,5,6,7,12,9,5,0,6,12,6,0,12,30,23,0,6,12,19,0,31,8,5,529,
"Redland (C)",304,675,148,4341,2869,106,275,2658,1688,2505,2432,801,576,145,1587,2316,2427,1853,730,633,1440,5,628,2981,1195,803,896,111,1961,858,2402,1589,2574,642,1611,32,1567,4450,1143,52,815,777,1816,769,141,1362,1062,1357,477,841,1414,66870,
"Richmond (S)",0,0,105,4,21,0,0,0,3,16,9,0,3,0,3,8,3,3,14,0,0,0,4,14,5,0,4,0,6,3,7,0,10,7,3,0,5,13,0,0,7,24,14,0,5,12,15,0,49,6,11,447,
"Rockhampton (R)",118,289,696,1772,1984,73,161,1408,937,2230,2158,225,575,80,1141,2791,1413,1394,667,476,697,6,653,2330,929,706,471,64,1301,420,1605,968,1267,387,907,10,661,3232,766,105,1876,712,1803,430,206,1447,822,1130,455,814,1089,48866,
"Scenic Rim (R)",53,102,990,763,708,22,112,414,316,702,506,89,151,21,252,660,524,292,275,343,289,0,184,736,335,213,205,14,320,163,422,250,457,149,227,0,252,842,171,26,219,291,656,74,66,391,300,359,464,247,280,15894,
"Somerset (R)",20,30,591,362,311,7,27,167,98,311,222,33,66,17,128,420,193,136,158,141,113,0,99,442,115,158,62,6,160,65,189,125,205,94,178,0,93,488,103,20,181,215,456,66,42,240,206,492,265,94,205,8612,
"South Burnett (R)",25,36,1003,372,481,7,37,181,152,586,390,23,122,9,177,544,254,222,166,130,200,3,200,715,176,106,66,0,202,81,262,151,298,117,150,3,105,821,184,23,354,237,397,75,52,394,202,480,370,186,239,11725,
"Southern Downs (R)",27,49,1218,439,656,8,41,222,227,640,423,29,105,7,191,533,379,180,247,158,210,0,165,728,283,125,107,13,217,106,351,176,354,115,223,3,151,954,233,12,170,281,566,286,59,420,243,671,584,234,317,14123,
"Sunshine Coast (R)",492,1134,1024,6669,7169,179,1134,4686,3389,6104,6532,823,1543,199,2461,3457,5789,2667,2505,2050,2639,18,1533,5986,3526,1405,2279,117,3209,1330,3495,2798,4280,1177,1948,58,3427,10110,2168,106,1804,1258,3391,606,320,3817,2505,1355,1525,1918,2817,132932,
"Tablelands (R)",50,81,1409,569,789,18,114,284,440,791,625,40,181,20,303,718,546,333,286,220,224,3,268,837,286,337,183,22,358,121,443,225,482,139,227,0,170,1120,254,39,420,333,569,82,68,456,301,370,716,232,341,17469,
"Toowoomba (R)",184,385,2563,2807,2691,79,255,2280,1499,3383,3423,331,931,94,1318,3130,2069,1175,970,708,1121,13,822,3401,1077,752,740,74,1592,569,2023,1381,2072,568,1266,13,949,4485,958,103,1121,836,2300,539,225,1847,976,2190,1084,1099,1272,67741,
"Torres (S)",4,14,4,83,53,0,4,27,48,97,84,3,24,3,15,23,42,25,18,8,8,0,18,91,4,38,18,6,60,11,54,15,18,9,48,0,8,50,13,0,6,11,19,3,14,45,21,3,9,14,61,1281,
"Torres Strait Island (R)",6,16,0,47,44,0,67,34,29,68,29,0,11,0,17,10,42,6,6,22,11,0,32,106,7,33,6,3,34,3,32,18,11,12,35,0,3,28,26,5,20,17,22,3,39,89,95,10,187,6,89,1427,
"Townsville (C)",260,576,216,4123,3336,162,358,2541,2375,3512,4432,419,1248,198,2108,4070,2691,2280,1202,796,1219,5,1129,3521,1966,3093,884,106,2231,640,2758,1960,2120,627,2034,27,1327,5738,1357,129,2229,1036,2655,1086,311,2249,1482,826,553,1405,1817,85432,
"Weipa (T)",11,8,3,78,52,6,3,38,48,92,66,3,21,4,80,182,58,67,18,14,6,0,23,47,26,31,11,0,39,10,54,14,24,3,46,0,10,60,23,9,282,29,60,8,7,45,20,0,7,16,41,1799,
"Western Downs (R)",31,52,1976,470,548,6,19,305,244,553,347,17,95,29,224,779,305,253,230,115,256,3,119,594,178,123,74,7,261,100,432,184,386,107,191,0,131,818,145,43,492,437,566,70,92,480,293,145,481,204,267,14297,
"Whitsunday (R)",49,102,540,503,867,3,72,255,449,414,296,32,89,28,241,737,537,383,356,195,260,0,145,477,465,157,250,9,274,114,345,231,423,92,175,3,190,930,241,34,755,383,608,70,62,626,298,255,519,208,427,15190,
"Winton (S)",0,3,141,11,40,0,0,3,5,19,16,0,0,3,6,20,15,11,17,9,7,0,8,23,13,4,8,0,14,6,17,9,7,8,0,0,4,22,4,0,16,38,26,0,7,15,13,0,67,7,8,672,
"Woorabinda (S)",0,3,0,8,0,0,0,4,0,9,14,0,0,0,0,0,5,0,4,3,0,0,12,30,0,6,4,0,0,0,8,3,4,0,3,0,0,3,0,0,7,0,6,0,3,11,17,0,12,0,11,191,
"Wujal Wujal (S)",0,6,0,0,0,0,5,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,10,0,3,0,0,0,0,3,0,0,3,4,0,0,0,0,0,0,3,0,0,0,10,5,0,17,0,3,99,
"Yarrabah (S)",0,11,0,0,4,0,4,7,5,15,7,0,17,0,0,3,8,0,6,4,4,0,28,31,0,15,3,0,3,0,11,15,5,8,3,0,0,0,3,0,0,3,7,0,0,23,16,0,6,7,3,300,
"Total",6911,16370,31007,107071,83950,4656,11624,85494,60077,84020,87560,23407,28065,3739,42716,73870,60682,41872,29391,19041,32672,235,20380,82965,42996,28699,27367,2836,50854,20492,59430,42664,63204,18088,41466,745,38539,126760,33351,2327,40978,25974,59306,20267,5905,50885,32018,35256,22727,28480,39150,1998526,

"Data source: Census of Population and Housing, 2011, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
